reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9f298136-c2d8-481c-a8d5-92b5920ae1c5,Jazz Ayush,https://play-lh.googleusercontent.com/a-/ALV-UjV4-Vuq9heZIbwnG8GUI2nRobewrHWK8Scm-avWZ4YWEadaVGXA,no matches,1,1,5.364.0,2024-04-10 10:43:02,"We're sorry to hear about your negative experience! Bumble has a huge community of members from all over the world, and has helped create countless love stories. We understand how frustrating it can be, but we urge you to keep going and not lose hope. We're here to support you on @BumbleSupport! 💛",2024-04-10 13:52:36,5.364.0
e513ef85-aeb6-4b2d-a236-73af1729aba3,Aryan Mandawat,https://play-lh.googleusercontent.com/a-/ALV-UjV_81pQVcrruq2zjVlXxQyiWAZYUSJptwgUiatP2zEXw0ySIPGV,stop working after 1 hour of use,1,1,5.364.0,2024-04-10 10:10:55,"Thanks for letting us know! We're reporting this to our team to fix. To help us out, please message us at @BumbleSupport on social media with a few more details—screenshots will help too. Or, you can contact us via bumble.com/contact",2024-04-10 14:20:41,5.364.0
f8a31f5c-8656-471d-bad4-ed9639fe9f09,Anurag Mukherjee,https://play-lh.googleusercontent.com/a-/ALV-UjW7MKGRFZ2YVU2Q7MtAp-_kBivqz4GjNv0CLD5SOCkBMPVjAJZe,"The only reason why I've reduced my rating from 5 to 2 is because even after using the subscription plan I hardly get matches, and on top of that, the subscription has been increased by another 100 Rupees and hardly any matches to make it worth continuing subscription either, please fix this problem soon. Thanks🙏",2,0,5.364.0,2024-04-10 09:59:26,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-04-10 14:20:39,5.364.0
24a25222-5a7b-42d8-ab1e-d43813be0d1b,Shankar G,https://play-lh.googleusercontent.com/a-/ALV-UjVh5c4HsEBILMTPn1A28lyPQIAgx-_PFrjje8nr_oig7nfyg2pi5A,Yeah Amazing!! A beautiful app where like minded people meet and it has many where there is old school. Only app which shows profiles without payment . More goal oriented. Just few superlikes for non paid will be great or a compliment function.,5,0,5.364.0,2024-04-10 09:02:43,We're so happy to hear that! We love that you enjoy buzzin' in the Hive. 🐝,2024-04-10 14:20:37,5.364.0
fa0354bb-8991-4ec0-857c-0b8e024c8897,Aisu M,https://play-lh.googleusercontent.com/a-/ALV-UjWMaDFJc7MOxIL1GLb6TZHsKttMWrNkzBNms1C52d2FrHpV83o4,"My app is not loading, even after giving the verification codes the loading screen has become a loop",2,0,,2024-04-10 08:56:54,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-04-10 14:20:06,
2ba91b53-6551-4103-bd52-8478f10b1b58,Steve T,https://play-lh.googleusercontent.com/a-/ALV-UjVY05yFGNAln49z2n8WEuCwQq-wbAuKwgzBwdPBmSStdzQvQug,it's chill,5,0,5.364.0,2024-04-10 08:35:03,We're so happy to hear that! We love that you enjoy buzzin' in the Hive. 🐝,2024-04-10 14:19:09,5.364.0
e1a8fe72-f5a3-4b9a-ac0a-075e4933d8ec,sreekkanth mittapally,https://play-lh.googleusercontent.com/a-/ALV-UjXqqkQH72v8vYLmPkhL4cjX25muSOnBBO7-_YYEuT4CywmFr_th0w,I have subscribed to almost all the plans and till now I have not received a single like.,1,1,5.364.0,2024-04-10 08:31:09,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-04-10 14:19:08,5.364.0
e3a7e524-b0ce-409e-a9ec-5e770773833f,Gurpal Singh Walia,https://play-lh.googleusercontent.com/a/ACg8ocKBcZA-ZPJ4ejP4awQ4Wyrktc1ee66sWUZQECEsjDvaZNKD0w=mo,great apps,5,0,5.364.0,2024-04-10 07:54:36,Thanks. 💛 It's so great to know that you're enjoying our app.,2024-04-10 14:18:09,5.364.0
e96699cd-e0a3-4589-9630-ed2730b5c9f5,None Yabus,https://play-lh.googleusercontent.com/a/ACg8ocJv4JYQ2zROY0o19ZB2bTSVfu4sUZyxnXNO2L6zYJXAr2S95Q=mo,Another scam dating app. I have likes piling up but the algorithm never puts them in the swiping queue. While their core features are all 'free' the rules by which they operate make it almost mathematically impossible to get a match without paying. I never had this problem on premium. Avoid as it just wastes everyones time. Dev RE: youre all full of shhhhhh,1,4,5.364.0,2024-04-10 07:10:22,You don't need to spend any money to match with admirers or notifications in your Beeline. These are people who have already swiped right on your profile and are waiting for you to swipe right on them. You can find them in your swipe deck for free.,2024-04-10 14:17:37,5.364.0
1f76dffd-c9d8-4e96-936b-069228e5e14e,Shonni Watkins,https://play-lh.googleusercontent.com/a-/ALV-UjVnl9UlLr8TyqTF_0ceJwM3-IdgdnyM49lNSnou89gVW0V35PIb,"Why is the age range min 5 years??? Can it not be one year younger, same age, and a year older? Making it a range of 3",1,1,5.364.0,2024-04-10 07:02:23,"We appreciate you sharing your feedback with us, Shonni. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team. 💛",2024-04-10 16:10:07,5.364.0
62553745-e830-42a2-a257-14e34ddda0f2,LEE XUAN YI,https://play-lh.googleusercontent.com/a-/ALV-UjVoACE5pdYguhh_r2h-KHDwckSL7OTzz1yRnnEpUYc5IiRMRQ,"Very stupid, I can't chat without paying",1,1,,2024-04-10 06:45:53,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 14:12:06,
fd40e282-89e3-42b9-81b5-27ae25a0d9f4,S F,https://play-lh.googleusercontent.com/a/ACg8ocK_14e4767xqFzDPpzwk1RLFEm0Xs0RR24Chb2mVw-pfuk1=mo,"Can not cancel a subscription, they are purely a scam, stay far away!!!",1,1,5.364.0,2024-04-10 05:15:52,"The steps to cancel your subscription will depend on your payment method. You can find instructions on our Help Center here: https://bumble.com/en/help/how-can-i-cancel-my-bumble-boost--bumble-premium-subscription. If you're unable to cancel your subscription following those steps, please reach out to bumble.com/contact.",2024-04-10 14:11:39,5.364.0
1aaa6e6c-1f97-45cc-bbb7-d74429d72846,Jaskaran Singh,https://play-lh.googleusercontent.com/a-/ALV-UjXggDfo_ZDVPRPnWi_wVYqcXlyHsiBO9YDrf1psU6xe67bpvXWo,A male here. Why do they even have a free version? You like I 3 profiles and you're out of likes.,1,1,5.364.0,2024-04-10 05:05:38,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 14:11:36,5.364.0
84f362d6-3304-4797-bcd8-d25bb9c877f1,Ros Tigell,https://play-lh.googleusercontent.com/a/ACg8ocKEWrn2RSjvcRTGnDqctc8P-Xoz0RqYvvhYkQg3PHX-HRm0Rw=mo,tricky without paying up. can't see who likes or may have common interests,3,0,5.364.0,2024-04-10 04:10:24,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 14:35:36,5.364.0
1e0ee0d2-e845-4cae-b703-42ed123f662b,manas sridhar,https://play-lh.googleusercontent.com/a-/ALV-UjVXQuHAy7n_ED18g_WVxxzlDyVIl6QxxWTgC0beuvAGokaw_eLQ,This app is a massive cash grab lol you even have to pay to view who swiped right on you,1,1,5.364.0,2024-04-10 04:06:15,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-04-10 14:35:07,5.364.0
aa6fedbc-a002-401e-94f3-f83732d9bfc1,Jason Bronius,https://play-lh.googleusercontent.com/a/ACg8ocIzV_TpobsmQ5GIQyJFJRzY7m_-fpY0tmGaz2wlsJYJQ2Xr6w=mo,"The app is full of fake profiles. I was almost scammed by a crypto gang from the Ukraine. They used a woman to introduce herself and then it turned into constantly telling me to download a crypto app and transfer money. Bumble did not delete the profile or rid the platform of the offenders. It is an expensive scam. Please do not use this app, it is expensive and not safe.",1,2,5.364.0,2024-04-10 04:03:55,"It's 100% against our Community Guidelines for users to create fake profiles, and our moderators work around the clock to ensure that all of our users are authentically representing themselves in the Hive. If you're ever unsure about the authenticity of an account, please make an in-app report so that we can review it right away.",2024-04-10 14:34:36,5.364.0
adca62f7-3d1a-42fd-8aa3-97510f0474e3,pushpendra singh,https://play-lh.googleusercontent.com/a-/ALV-UjXY4qWa2BH20X5hO5WRpwMnp73vnftew7kFvIm6Ordt0kQe7zBs,Useless,1,1,5.364.0,2024-04-10 03:49:54,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-04-10 04:25:06,5.364.0
8bd9341c-4f2f-48ce-9795-31de792dbaa3,Katlego Mabaso,https://play-lh.googleusercontent.com/a-/ALV-UjWTL-h2R_HkaciiEiaKXzAaZncUjgfFYJrXmFAe3K40rE-Sn1mi,"I don't like the expiring chats thing. One of my chats called me at night, when I woke up I couldn't talk to them anymore😑",3,0,5.364.0,2024-04-10 03:47:37,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-04-10 05:23:07,5.364.0
1b65dcb6-b670-4be7-adf5-ec0f4defb96b,Kevin Kettle,https://play-lh.googleusercontent.com/a/ACg8ocLP61LkfjjTB-qMdkN1Fwogv5kcapf5fSZseRPVDYgIt5lW0Q=mo,"Seriously fellas, don't bother with this app. Unless you are confidently a Chad or Tyrone. You'll be better off going your own way.",1,1,5.364.0,2024-04-10 03:18:35,"We're sorry to hear about this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-04-10 05:23:08,5.364.0
